Букв. код,Единиц,Валюта,Курс
AUD,1,Австралийский доллар,"60,7742"
AZN,1,Азербайджанский манат,"53,3257"
AMD,100,Армянских драмов,"23,3662"
BYN,1,Белорусский рубль,"28,1350"
BGN,1,Болгарский лев,"50,2624"
BRL,1,Бразильский реал,"17,7217"
HUF,100,Венгерских форинтов,"25,3449"
KRW,1000,Вон Республики Корея,"66,8587"
VND,10000,Вьетнамских донгов,"37,3876"
HKD,1,Гонконгский доллар,"11,6432"
GEL,1,Грузинский лари,"32,8634"
DKK,1,Датская крона,"13,1749"
AED,1,Дирхам ОАЭ,"24,6845"
USD,1,Доллар США,"90,6537"
EUR,1,Евро,"98,5842"
EGP,10,Египетских фунтов,"19,4430"
INR,10,Индийских рупий,"10,8591"
IDR,10000,Индонезийских рупий,"56,7366"
KZT,100,Казахстанских тенге,"20,4433"
CAD,1,Канадский доллар,"66,5837"
QAR,1,Катарский риал,"24,9049"
KGS,10,Киргизских сомов,"10,2787"
CNY,1,Китайский юань,"12,5100"
MDL,10,Молдавских леев,"51,0978"
NZD,1,Новозеландский доллар,"55,5798"
TMT,1,Новый туркменский манат,"25,9011"
NOK,10,Норвежских крон,"84,6108"
PLN,1,Польский злотый,"23,1561"
RON,1,Румынский лей,"19,8033"
XDR,1,СДР (специальные права заимствования),"120,0056"
RSD,100,Сербских динаров,"84,2420"
SGD,1,Сингапурский доллар,"67,4005"
TJS,10,Таджикских сомони,"83,4318"
THB,10,Таиландских батов,"25,1739"
TRY,10,Турецких лир,"28,1332"
UZS,10000,Узбекских сумов,"71,4097"
UAH,10,Украинских гривен,"22,9927"
GBP,1,Фунт стерлингов Соединенного королевства,"115,1121"
CZK,10,Чешских крон,"39,7744"
SEK,10,Шведских крон,"84,3457"
CHF,1,Швейцарский франк,"99,7290"
ZAR,10,Южноафриканских рэндов,"49,9924"
JPY,100,Японских иен,"58,1673"
