comment,rating,username
"удобно Почти год пользуюсь подпиской, там много фильмов и сериалов, удостоенных наград . К примеру, сериал ""Во все тяжкие"", ""Ход королевы"": или ""Бумажный дом "", ""Черное зеркало"": Жаль, что раньше уже посмотрела многие сериалы и фильмы...  много удостоенных наград  фильмов и сериалов,отличное качество звука и картинки  не нашла",5,Marria1964
"Улыбающийся аватар в хоррор-кинотеатре — это не смешно Когда-то оформлял подписку на Netflix, потом забыл о ней из-за болезни (типа амнезия и алкоголизм, к тому же интернета не было в лесу). Я вспомнил об онлайн-кинотеатре лишь тогда, когда пришло оповещение, что будет списано...  Удобно использовать в любом месте  Правила использования",4,TerraBit
"Могу советовать! Вот и дошли мои потные руки до потокового сервиса Netflix. Все нормальные люди давно уже успели опробовать данный, не побоюсь этого слова, самый известный онлайн-кинотеатр, а я, как обычно... Но сейчас не об этом. Регистрация...  Много контента, оригинального контента, контента в отличном качестве, организация сайта и приложений  Перевод есть не у каждой картины; не самый лучший поиск (опять поднимаю вопрос перевода)",5,punkee
"Выбирайте отечественное Где-то с неделю назад с интересом воспользовался любезным предложением от Netflix и подключил бесплатно пробную подписку на месяц. Двигало мной в первую очередь любопытство, чем же он отличается от давно знакомых мне отечественных платформ? Об...  Не хуже прочих, оригинальный контент от Netflix  Не локализован, цена",5,ashu6303
"Отличный канал! Я подписалась на Netflix уже более года назад. Сам интерфейс на английском языке. И возможно, первое время придется приноровиться. Но там нет ничего сложного. Очень много фильмов, сериалов и передач, в том числе с русским...  много новинок, много фильмов с русским переводом  не нашла",5,Severnaya Dama
"Мало новинок. Больше сериалов. Без рекламы. На канал Netflix подписалась моя сестра. Всё благодаря своему любимому сериалу Сверхъестественное, который тогда (заметьте «тогда») предлагал канал. Скоро уже как год у нас подписка, но написанных здесь восторженных отзывов, не разделяю. Но начнём всё-таки...  фильмы на англ/франц./нем - глядишь, уже и язык подучил; простой интерфейс; пробная версия; можно смотреть где угодно на любом устройстве; нет рекламы  подходит больше любителям сериалов; мало новинок; редко обновления; разная продолжительности лицензии; ограниченный поиск; не у всех фильмов трейлер; чёрный интерфейс",3,allMania
"классный контент в большом количестве Долго думал покупать ли подписку на Нетфликс, ведь она стоит не маленьких денег, но все таки решился и не ошибся. Ведь это замечательная платформа для просмотра фильмов и сериалов. Во-первых, это самый знаменитый онлайн-кинотеатр. Во-вторых...  организация сайта, возможность смотреть с субтитрами, на разных языках, без рекламы, много контента   цена",5,ФомаПростой
"Все плюсы и минусы. Netflix - один из популярных онлайн-кинотеатров, который предлагает огромный выбор фильмов, сериалов и мультфильмов. Я взяла себе подписку беспатную на 30 дней. Не очень понравилось, что нужно привязывать карту. Но вроде ни у кого еще...  Качество, новинки, удобство  Цена; Многие фильмы не озвучены на русский язык; Привязка карты.",4,Soblaznitel naya
"Слишком толерантная площадка. Пришло время и я решил попробовать Netflix. В общем я знал что меня ждут нескончаемые орды негров, геев и прочие сказочные твари. Но я не оставлял надежды на то что найду контент без современной повестки...  Оптимизация и удобство   Практически весь контент с повесткой ",2,Андрей Лузанов
"балдею Все мы в курсе что за махина этот Netflix. Вот и я присоединилась к этой огромной сети. Просто сносит мозг от радости и не могу не поделиться. Недавно друг предложил мне свой аккаунт чтобы я...  качество, выбор, удобство  нет",5,natalochka-san
"Неправильное пояснение при оплате Я просто решил посмотреть в моём смарт телевизоре всякие сервисы и случайным образом залез на онлайн кинотеатр Netflix. Мне стало интересно узнать цену и зашёл в соответствующий раздел. Там было написано ""попробовать"" и цены. Нажал...  никаких плюсов  Описание в платежах неправильное. Специально немного запутали, чтобы люди делали оплату. ",1,kommentator30067
"Прекрасный канал Всем доброго времени суток! Подписалась на канал не так давно, в начале 2020 года, но уже довольна каналом. Netflix хоть и на английском языке, и так как я не очень им владею, все равно было...  Качество картинки, профессиональный перевод  нет",5,kyana
"Качественный онлайн-кинотеатр Первые впечатления о пользовании данным онлайн-кинотеатром исключительно положительные. Огромный и качественный побор контента для широкой аудитории пользователей на разный вкус и предпочтения, который удовлетворит вкусы любой возрастной категории от детей до взрослых. Качественный дубляж, высокое...  Удобство, качество и широкий выбор контента   Не зафиксировано",5,Ferdinand18
"хорошее качество видео Доброго времени суток, читатели Отзовика! Пользуемся этим приложением для просмотра фильмов и сериалов уже второй год. Из минусов дороговато))) и нет возможности смотреть телеканалы. А в целом, качество представленных видеоматериалов очень даже на высшем уровне...  возможность изучать языки  дорого",5,Lastochkatanya
"Заметно лучше, чем 3 года назад... В первый раз подключал Нетфликс, когда он только пришёл в Россию. Тогда было очень мало контента с русским дубляжом. А это серьезный барьер, если кто-то дома не знает английский. Я лично люблю смотреть кино в...  Многие новые фильмы и сериалы в качестве 4K HDR - Dolby Vision; стало заметно больше дублированного контента; красивый и удобный интерфейс; всегда можно найти что-нибудь по душе; ежемесячное обновление контента.  Не весь контент ещё дублирован на русский (для меня лично не минус, но минус для тех, кто не знает английский); нельзя найти прям все, что хочешь; особенно мало старых фильмов из 80-90х.",5,MHOops
"Большой выбор фильмов Пользуюсь Netflix уже несколько лет. Всегда есть что посмотреть, много новинок. В разных странах на выбор предлагают разные фильмы. В Англии совсем не то, что в России. Здесь выбор намного больше. Нравится, что для многих...  Большой выбор фильмов с возможностью выбора языка, всегда есть новинки и фильмы с большим количеством наград   Не всегда фильм, который начал смотреть в одной стране, можно досмотреть в другой стране",4,Mrs Courtney
"Очень удобно Как и многие другие люди, я стал пользователем Netflix недавно, и сейчас понимаю, почему так многие люди хвалят этот онлайн-кинотеатр. Мне кажется, что это один из лучших способов смотреть фильмы и сериалы. Один из крупнейших...  Просмотр доступен на любом устройстве. Большой выбор от сериалов до фильмов   За время моего использования их не было как для меня ",5,Frolov23
"Адаптации Netflix как площадка для просмотра фильмов и сериалов является отличным сервисом, но его деятельность в качестве издателей различного контента довольно спорная. Различного рода сериалы и фильмы с неуместно вставленными туда актерами, довольно сильно подпортили репутацию...  Большое количество контактента  Нельзя купить подписку",4,OFIX
"Насыщенный контент и удобство в использовании: отзыв на Netflix Netflix - это онлайн-платформа, предлагающая широкий спектр телешоу, фильмов и документальных программ. Она стала незаменимым помощником в организации досуга для многих пользователей. С самого начала использования Netflix мне понравился интуитивно понятный интерфейс и удобство навигации...  очень удобный сервис  сложно использовать в России",4,Lenka1273
"Лучшее, что есть в интернете. Но, далеко не хорошее. Мое отношение к Нетфликсу неоднозначное из мегатонн контента, который они представляют им удается сделать 1-2 в лучшем случае 3 сериала, которые достойны к просмотру. При этом они снимают просто бесконечное количество чудовищной тупости. Тонны сериалов...  много контента, крутые документалки  тонны бессмысленных вторичных бесталанных заготовок",5,Jose097
"Netflix-жду новые сезоны! Netflix - это не просто стриминговый сервис, это настоящее окно в мир разнообразных и качественных фильмов и сериалов. Я уже несколько лет пользуюсь этим сервисом, и могу сказать, что он просто незаменим для меня. Первым...  +Огромное разнообразие фильмов и сериалов на любой вкус.  +Качество видео и звука на высшем уровне.  -Ограничения по доступности контента в разных регионах.  -Периодически повышается стоимость подписки.  ",5,AlexSimonoW
"Отличная площадка для просмотра фильмов и сериалов Уже очень долго пользуюсь подпиской на Netflix. Отрицательных моментов или претензий не найдено. Смотрела очень много фильмов и сериалов на Netflix и как упомянула ранее, осталась довольна. Смотрела, как и мультфильмы, так и сериалы и...  Хороший звук, отличная картинка и качество.  Много наград фильмов и сериалов.  Не найдено.",5,Rina-14
"Ожидаешь большего, платя за подписку Netflix - популярный онлайн кинотеатр. Начнём с обзора приложения Netflix для смартфонов. Визуально начальная страница выглядит привлекательно, строгий дизайн и нужные разделы находятся сразу на главной странице. Тут же мы видим рекомендуемый нам фильм, который...  Множество фильмов, субтитры на разных языках, создание профилей  Не гибкая система настройки качества фильма",4,Алекс Степанов
"За качеством сюда! Если вы хотите посмотреть в самом лучшем качестве сериалы или фильмы то к вашему вниманию предствляю Netflix. Ведь только тут можно посмотреть и насладиться фильмами или сериалами в самых наилучших качествах, качественные переводы! Для меня...  Качество да и только  Нету",5,elena-kud97
"Это не кино Дважды пытались воспользоваться услугами и открыть подписку. В первый раз хотели посмотреть сериал Фауда. После начала просмотра выяснилось, что формат изображения маштабирован кратно, так, что смотреть невозможно. Со скрипом от услуги отказались и деньги нам...  Их нет  Сплошные",1,Андрей 121
