"annotation_id","annotator","comment","created_at","id","lead_time","rating","sentiment","updated_at","user_evaluation","username"
1,"1","Удобный Когда-то оформлял подписку на Netflix, потом забыл о ней из-за болезни Долго думал покупать ли подписку на Нетфликс, ведь она стоит не маленьких денег, но все таки решился и не...  Организации сайта   Нет","2024-06-09T17:45:06.395006Z",1,8.041,5,"Positive","2024-06-09T17:45:06.395006Z","positive","Nilufar01"
2,"1","лучший онлайн-кинотеатр Я уже несколько лет пользуюсь сервисом Netflix и могу с уверенностью сказать, что он является одним из лучших онлайн-кинотеатров на сегодняшний день. Недавно я решил поделиться своими впечатлениями о нем. Первое, что бросается в глаза...  удобный интерфейс и качество  сложно сказать ведь разные фильмы нравятся разным людям","2024-06-09T17:45:39.458237Z",2,4.069,5,"Positive","2024-06-09T17:45:39.458237Z","positive","mokakoi"
3,"1","Очень крутое приложение Подписку нам подарила сестра мужа. Очень классный контент, дети освоили очень быстро. Качество отличное. Оформление доступное. Приложение очень хорошо реагирует на ваши желания и интересы. Рекомендую всем. 0+ и старше. Любой возраст найдет что посмотреть...  Просто, удобно, оперативно, качественно,   К сожалению не все телевизоры поддерживают данное приложение но если приобрести дополнительную приставку это легко исправить ","2024-06-09T17:46:50.171812Z",3,21.534,5,"Positive","2024-06-09T17:46:50.171812Z","positive","MiraMAV"
4,"1","Есть интересные сериалы и фильмы Ну что сказать... Моя работа связанна с офисом побольшей части и посмотреть сериалы и фильмы можно много где, но тут качество видео и звука шикарные. Но есть одно но! Я толерантен ко всем неформальным движениям...  Звук, качество видео, скорость загрузки, удобный интерфейс  Цена, всё больше фильмов непристойного содержания","2024-06-09T17:46:54.566653Z",4,1.866,4,"Positive","2024-06-09T17:46:54.566653Z","positive","Mikhail MD"
5,"1","Это не кино Дважды пытались воспользоваться услугами и открыть подписку. В первый раз хотели посмотреть сериал Фауда. После начала просмотра выяснилось, что формат изображения маштабирован кратно, так, что смотреть невозможно. Со скрипом от услуги отказались и деньги нам...  Их нет  Сплошные","2024-06-09T17:47:01.435783Z",5,10.772,1,"Negative","2024-06-09T17:47:01.435783Z","negative","Андрей 121"
6,"1","Обалденно, качественно, на высшем уровне Приветствую, дорогой мой читатель! Если хочешь посмотреть интересные фильмы и сериалы, с качественным музыкальным оформлением, озвучкой и шикарной картинкой, то смело заходи на «Netflix». Уже более одного года отдаю предпочтение только ему! Здесь ты найдёшь...  Качественное оформление, шикарный звук, профессиональная картинка  Нет","2024-06-09T17:47:34.396567Z",6,3.075,5,"Positive","2024-06-09T17:47:34.396567Z","positive","Julietta-N91"
7,"1","Как жаль, до новых встреч Был любимый онлайн-кинотеатр. ОЧЕНЬ жалко, что ушли от нас. Можно было смотреть всякие разные новинки, удобно, что оригинальные сериалы выходили сразу сезоном. Даже некоторые русские фильмы были, что тоже...  Удобный интерфейс, большой выбор   Ушли из страны","2024-06-09T17:47:42.191189Z",7,4.035,2,"Negative","2024-06-09T17:47:42.191189Z","negative","pavlovanadezsjds"
8,"1","Пользовался данной платформой давненько, и по периоду пользования - мне все нравилось, придираться не к чему. добрый день! Хочу поделиться своим мнением о Netflix. Пользовался данной платформой давненько, и по периоду пользования - мне все нравилось, придираться не к чему. Огромный выбор жанров. Отличное оформление, что меня всегда радует, так как...  Огромный выбор жанров. Отличное оформление.   огромный минус - цена","2024-06-09T17:47:46.406814Z",8,2.047,4,"Positive","2024-06-09T17:47:46.406814Z","positive","n1nfisss"
9,"1","Онлайн кинотеатр нетфликс хороший и качественный Онлайн кинотеатр нетфликс лучший! Там только самые лучшие и качественные фильмы! Я в восторге! Постоянно смотрю там фильмы. Все...  Качественные фильмы  Надо платить за подписку","2024-06-09T17:47:51.563155Z",9,1.519,5,"Positive","2024-06-09T17:47:51.563155Z","positive","Злата1984"
10,"1","Осталась очень довольна Отличное приложение для просмотра фильмов (сериалов) но не всегда есть русская озвучка отлично подойдёт тем кто учит английский по сериалам, еще можно сохранять видео что тоже очень удобно особенно когда ты в дороге и у...  Удобно   Дорого, мало русской озвучки","2024-06-09T17:47:55.501219Z",10,1.704,5,"Positive","2024-06-09T17:47:55.501219Z","positive","Katerinka17ye"
